Gemeente;Code;AmsterdamseCode;Partij;AantalStemmen;AantalZetels;
Boxtel;G0757;10083;BALANS;3407;7;
Boxtel;G0757;10083;Combinatie95;2701;5;
Boxtel;G0757;10083;CDA;1293;2;
Boxtel;G0757;10083;Partij van de Arbeid / GROENLINKS;1286;2;
Boxtel;G0757;10083;VVD;1012;2;
Boxtel;G0757;10083;SP (Socialistische Partij);1003;2;
Boxtel;G0757;10083;D66;996;2;
Boxtel;G0757;10083;INbox;682;1;
Eemsdelta;G1979;10976;Lokaal Belang Eemsdelta;5243;11;
Eemsdelta;G1979;10976;Partij van de Arbeid (P.v.d.A.);2650;5;
Eemsdelta;G1979;10976;ChristenUnie;1804;3;
Eemsdelta;G1979;10976;VVD;1693;3;
Eemsdelta;G1979;10976;CDA;1656;3;
Eemsdelta;G1979;10976;Gemeentebelangen Eemsdelta;1326;2;
Eemsdelta;G1979;10976;GROENLINKS;953;2;
Eemsdelta;G1979;10976;Jongerenpartij Eemsdelta;428;;
Eemsdelta;G1979;10976;Seniorenpartij Eemsdelta;403;;
Eemsdelta;G1979;10976;D66;268;;
Oisterwijk;G0824;10103;Partij Gemeente Belangen;2813;6;
Oisterwijk;G0824;10103;VVD;2660;5;
Oisterwijk;G0824;10103;PrO ( Progressief Oisterwijk);1775;4;
Oisterwijk;G0824;10103;CDA;1699;3;
Oisterwijk;G0824;10103;Algemeen Belang;1381;3;
Oisterwijk;G0824;10103;D66;1025;2;
Oisterwijk;G0824;10103;WIJ! Oisterwijk;308;;
Vught;G0865;11224;Gemeentebelangen;3164;6;
Vught;G0865;11224;D66;2679;5;
Vught;G0865;11224;VVD;2412;4;
Vught;G0865;11224;PvdA-GroenLinks;2254;4;
Vught;G0865;11224;CDA;1560;3;
Vught;G0865;11224;SP (Socialistische Partij);645;1;
